market,theme,asset,n_events,car_window,window_end,car_pct,t,p,pre_event_car_pct,post_event_car_pct,pre_share_of_move,post_only_t,p_fdr
fed_hike_2026,monetary,SPY,9,"[-5,-1]",-1,0.1609993266563792,0.2456964748675165,0.8121031632320239,0.1609993266563792,-0.9374624372837266,0.14656798437743143,-1.4371491389292859,0.8428511448266904
fed_hike_2026,monetary,SPY,9,"[-5,+0]",0,-0.4699750617629307,-0.542633110072547,0.6021674090260589,0.1609993266563792,-0.9374624372837266,0.14656798437743143,-1.4371491389292859,0.8086894378611362
fed_hike_2026,monetary,SPY,9,"[-5,+1]",1,-0.5325988808375455,-0.7317755555753566,0.48518707532308714,0.1609993266563792,-0.9374624372837266,0.14656798437743143,-1.4371491389292859,0.7078592852411123
fed_hike_2026,monetary,SPY,9,"[-5,+3]",3,-0.7685461130396565,-0.7489756058088558,0.4753149630095681,0.1609993266563792,-0.9374624372837266,0.14656798437743143,-1.4371491389292859,0.8978171523514065
fed_hike_2026,monetary,SPY,9,"[-5,+5]",5,-0.776463110627347,-0.813177697335389,0.43964460459957744,0.1609993266563792,-0.9374624372837266,0.14656798437743143,-1.4371491389292859,0.8928103527660355
fed_hike_2026,monetary,XLI,9,"[-5,-1]",-1,-0.26215862624112485,-0.3884843427044742,0.7077919175145673,-0.26215862624112485,0.5880286324081323,0.30835398151888543,0.6544666705868019,0.8428511448266904
fed_hike_2026,monetary,XLI,9,"[-5,+0]",0,0.4989328170218783,0.5489767207201335,0.598005558695653,-0.26215862624112485,0.5880286324081323,0.30835398151888543,0.6544666705868019,0.8086894378611362
fed_hike_2026,monetary,XLI,9,"[-5,+1]",1,0.5981710135245051,0.6527473039802913,0.5322243410757381,-0.26215862624112485,0.5880286324081323,0.30835398151888543,0.6544666705868019,0.7078592852411123
fed_hike_2026,monetary,XLI,9,"[-5,+3]",3,0.06106165926811233,0.05565296770885598,0.9569830837201658,-0.26215862624112485,0.5880286324081323,0.30835398151888543,0.6544666705868019,0.9569830837201657
fed_hike_2026,monetary,XLI,9,"[-5,+5]",5,0.32587000616700723,0.2313647679094062,0.8228392739638708,-0.26215862624112485,0.5880286324081323,0.30835398151888543,0.6544666705868019,0.8928103527660355
fed_hike_2026,monetary,VIXY,9,"[-5,-1]",-1,-1.2855780356355797,-1.2644813316118062,0.24165032310726908,-1.2855780356355797,0.7111326085500423,0.6438479403007916,0.37836035926516043,0.8428511448266904
fed_hike_2026,monetary,VIXY,9,"[-5,+0]",0,-1.2352904747231037,-0.785121895248663,0.4550022149752717,-1.2855780356355797,0.7111326085500423,0.6438479403007916,0.37836035926516043,0.8086894378611362
fed_hike_2026,monetary,VIXY,9,"[-5,+1]",1,-0.4368059556100335,-0.22884459452282893,0.8247313615890213,-1.2855780356355797,0.7111326085500423,0.6438479403007916,0.37836035926516043,0.8970949260857526
fed_hike_2026,monetary,VIXY,9,"[-5,+3]",3,-0.3600679838665241,-0.16270329284720464,0.8747867866904699,-1.2855780356355797,0.7111326085500423,0.6438479403007916,0.37836035926516043,0.9569830837201657
fed_hike_2026,monetary,VIXY,9,"[-5,+5]",5,-0.5744454270855373,-0.20817820300380457,0.8402920967209746,-1.2855780356355797,0.7111326085500423,0.6438479403007916,0.37836035926516043,0.8928103527660355
us_recession_2026,growth,SPY,5,"[-5,-1]",-1,-1.3221263448892364,-1.7338726685532144,0.1579655303643801,-1.3221263448892364,-2.3852581776311585,0.35661969694754353,-7.38515008281798,0.8428511448266904
us_recession_2026,growth,SPY,5,"[-5,+0]",0,-2.252200396957374,-2.4368039839228435,0.07145429908032219,-1.3221263448892364,-2.3852581776311585,0.35661969694754353,-7.38515008281798,0.4554391617996014
us_recession_2026,growth,SPY,5,"[-5,+1]",1,-2.3183160477434104,-2.669914332611085,0.05581096467359825,-1.3221263448892364,-2.3852581776311585,0.35661969694754353,-7.38515008281798,0.37280668016601193
us_recession_2026,growth,SPY,5,"[-5,+3]",3,-2.642220989474515,-3.0937593766484563,0.03644106842943273,-1.3221263448892364,-2.3852581776311585,0.35661969694754353,-7.38515008281798,0.6194981633003565
us_recession_2026,growth,SPY,5,"[-5,+5]",5,-3.7073845225203947,-4.091891767044264,0.014951939018261085,-1.3221263448892364,-2.3852581776311585,0.35661969694754353,-7.38515008281798,0.25418296331043844
