market,theme,asset,lag,n,p_prob_leads_market,p_market_leads_prob,p_prob_leads_market_fdr,p_market_leads_prob_fdr
fed_sep2026_hike25,monetary,XLI,4,75,0.823904587809039,0.8731151670213093,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,XLI,5,75,0.8495018184934618,0.909394091290143,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,VIXY,1,75,0.9929392776912102,0.4468516901691583,0.9929392776912102,0.9914427486398933
fed_sep2026_hike25,monetary,VIXY,2,75,0.9653897114321599,0.7161222541058727,0.9928588249466987,0.9914427486398933
fed_sep2026_hike25,monetary,VIXY,3,75,0.6476653504227695,0.6116254329106905,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,VIXY,4,75,0.5312182783597406,0.5695330969666246,0.9786128357930445,0.9914427486398933
fed_sep2026_hike25,monetary,VIXY,5,75,0.5004615917282069,0.6830227704475906,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,TLT,1,162,0.5032785076639525,0.3913185978889393,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,TLT,2,162,0.6489217277079203,0.6998552723073355,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,TLT,3,162,0.3895678022678301,0.8218031351723708,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,TLT,4,162,0.4923765160558117,0.8763763150603808,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,TLT,5,162,0.5903957293693645,0.9370509425561204,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,XLF,1,162,0.7323962764294112,0.6754555744430397,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,XLF,2,162,0.969030213147978,0.8626195324477341,0.9928588249466987,0.9914427486398933
fed_hike_2026,monetary,XLF,3,162,0.6680298630234385,0.8078798873740951,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,XLF,4,162,0.8400745296284349,0.8539348123259064,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,XLF,5,162,0.9191810326668578,0.8679452469300901,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,SPY,1,162,0.863723393178654,0.9468338319562277,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,SPY,2,162,0.7619358192571609,0.5722271803806407,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,SPY,3,162,0.40614849590887836,0.7237129352894041,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,SPY,4,162,0.3470914466018182,0.8412172891618446,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,SPY,5,162,0.28417781764452743,0.7524673419421528,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,XLI,1,162,0.7606841046609969,0.9610600282593086,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,XLI,2,162,0.9346287649787596,0.7778291837234136,0.9816485938407487,0.9914427486398933
fed_hike_2026,monetary,XLI,3,162,0.7096209242078518,0.3673271347285287,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,XLI,4,162,0.6837724682480328,0.46585351012790566,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,XLI,5,162,0.8124005099182816,0.635518390327247,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,VIXY,1,162,0.17341605409854358,0.31081015527419686,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,VIXY,2,162,0.26394528308977894,0.48161526732027543,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,VIXY,3,162,0.19104803578725388,0.408588681434886,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,VIXY,4,162,0.28180679618059773,0.6678496116845261,0.9786128357930445,0.9914427486398933
fed_hike_2026,monetary,VIXY,5,162,0.32507635231177134,0.7095336333852078,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,SPY,1,202,0.23510927597755005,0.3345740866010465,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,SPY,2,202,0.3455502365646103,0.3650646564912648,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,SPY,3,202,0.5227390773532454,0.5585323617404989,0.9786128357930445,0.9914427486398933
us_recession_2026,growth,SPY,4,202,0.6326579837008589,0.6131065438948625,0.9786128357930445,0.9914427486398933
